الرمز,اسم الشركة
4015,شركة مصنع جمجوم للأدوية
3090,شركة أسمنت تبوك
4011,شركة لازوردي للمجوهرات
2284,شركة المطاحن الحديثة للمنتجات الغذائية
1831,شركة مهارة للموارد البشرية
2320,شركة البابطين للطاقة والإتصالات
4050,الشركة السعودية لخدمات السيارات والمعدات
2270,الشركة السعودية لمنتجات الألبان والأغذية
1212,مجموعة أسترا الصناعية
4090,شركة طيبة للإستثمار
1833,شركة الموارد للقوى البشرية
2282,شركة نقي للمياه
6014,شركة الآمار الغذائية
4321,شركة المراكز العربية
4260,الشركة المتحدة الدولية للمواصلات
4100,شركة مكة للإنشاء والتعمير
6004,شركة كاتريون للتموين القابضة
3004,شركة أسمنت المنطقة الشمالية
4030,الشركة الوطنية السعودية للنقل البحري
1830,شركة لجام للرياضة
4051,شركة باعظيم التجارية
2381,شركة الحفر العربية
2120,الشركة السعودية للصناعات المتطورة
4164,شركة النهدي الطبية
3050,شركة أسمنت المنطقة الجنوبية
4261,شركة ذيب لتأجير السيارات
1303,شركة الصناعات الكهربائية
2190,شركة البنى التحتية المستدامة القابضة
2283,شركة المطاحن الأولى
3080,شركة أسمنت المنطقة الشرقية
3010,شركة الأسمنت العربية
1111,شركة مجموعة تداول السعودية القابضة
4150,شركة الرياض للتعمير
7203,شركة علم
2222,شركة الزيت العربية السعودية
4142,شركة مجموعة كابلات الرياض
2083,شركة مرافق الكهرباء والمياه بالجبيل وينبع
4320,شركة الأندلس العقارية
4003,الشركة المتحدة للإلكترونيات
4190,شركة جرير للتسويق
5110,الشركة السعودية للكهرباء
6070,شركة الجوف الزراعية
4263,شركة سال السعودية للخدمات اللوجستية
1302,شركة بوان
2082,شركة أكوا باور
3007,شركة زهرة الواحة للتجارة
4322,شركة رتال للتطوير العمراني
2223,شركة أرامكو السعودية لزيوت الأساس
1180,البنك الأهلي السعودي
1120,مصرف الراجحي
3001,شركة أسمنت حائل
3040,شركة أسمنت القصيم
4012,شركة ثوب الأصيل
7010,شركة الإتصالات السعودية
4013,مجموعة الدكتور سليمان الحبيب للخدمات الطبية
7202,الشركة العربية لخدمات الإنترنت والاتصالات
3003,شركة أسمنت المدينة
1010,بنك الرياض
3020,شركة أسمنت اليمامة
7020,شركة إتحاد إتصالات
1060,البنك السعودي الأول
3030,شركة الأسمنت السعودية
4001,شركة أسواق عبدالله العثيم
1050,البنك السعودي الفرنسي
1080,البنك العربي الوطني
1140,بنك البلاد
4200,شركة الدريس للخدمات البترولية و النقليات
1322,شركة المصانع الكبرى للتعدين
4163,شركة الدواء للخدمات الطبية
2230,الشركة الكيميائية السعودية القابضة
4004,شركة دله للخدمات الصحية
4002,شركة المواساة للخدمات الطبية
2290,شركة ينبع الوطنية للبتروكيماويات
2280,شركة المراعي
2020,شركة سابك للمغذيات الزراعية
2250,المجموعة السعودية للإستثمار الصناعي
2010,الشركة السعودية للصناعات الأساسية
2080,شركة الغاز والتصنيع الأهلية
2310,شركة الصحراء العالمية للبتروكيماويات
3092,شركة أسمنت الرياض
2300,الشركة السعودية لصناعة الورق
4191,شركة عبد الله سعد محمد أبو معطي للمكتبات
4291,الشركة الوطنية للتربية و التعليم
4162,شركة المنجم للأغذية
4161,شركة بن داود القابضة
4007,شركة الحمادي القابضة
1301,شركة إتحاد مصانع الأسلاك
4292,شركة عطاء التعليمية
1150,مصرف الإنماء
4192,شركة متاجر السيف للتنمية والاستثمار
4323,شركة سمو العقارية
1030,البنك السعودي للإستثمار
2150,شركة الصناعات الزجاجية الوطنية
4082,شركة المرابحة المرنة للتمويل
7200,شركة المعمر لأنظمة المعلومات
1183,شركة سهل للتمويل
3060,شركة أسمنت ينبع
1321,شركة أنابيب الشرق المتكاملة للصناعة
1202,شركة الشرق الأوسط لصناعة وإنتاج الورق
4071,الشركة العربية للتعهدات الفنية
8250,مجموعة الخليج للتأمين
8010,الشركة التعاونية للتأمين
8210,شركة بوبا العربية للتأمين التعاوني
2281,شركة التنمية الغذائية
4280,شركة المملكة القابضة
2030,شركة المصافي العربية السعودية
4006,الشركة السعودية للتسويق
2050,مجموعة صافولا
7030,شركة الإتصالات المتنقلة السعودية
1210,شركة الصناعات الكيميائية الأساسية
4005,الشركة الوطنية للرعاية الطبية
6002,شركة هرفي للخدمات الغذائية
1182,شركة أملاك العالمية للتمويل
3002,شركة أسمنت نجران
6015,شركة أمريكانا للمطاعم العالمية بي إل سي
2040,شركة الخزف السعودي
2330,الشركة المتقدمة للبتروكيماويات
4180,مجموعة فتيحي القابضة
7204,شركة العرض المتقن للخدمات التجارية
2081,شركة الخريف لتقنية المياه والطاقة
1020,بنك الجزيرة
2170,شركة اللجين
4014,شركة دار المعدات الطبية والعلمية
4081,شركة النايفات للتمويل
1304,شركة اليمامة للصناعات الحديدية
4141,شركة العمران للصناعة والتجارة
2090,شركة الجبس الأهلية
2070,الشركة السعودية للصناعات الدوائية والمستلزمات الطبية
3005,شركة أسمنت ام القرى
6001,شركة حلواني إخوان
4290,شركة الخليج للتدريب والتعليم
4008,الشركة السعودية للعدد والأدوات
2002,الشركة الوطنية للبتروكيماويات
1832,شركة صدر للخدمات اللوجستية
2360,الشركة السعودية لإنتاج الأنابيب الفخارية
4010,شركة دور للضيافة
1090,مجموعة سامبا المالية
8270,شركة بروج للتأمين التعاوني
4031,الشركة السعودية للخدمات الأرضية
8060,شركة ولاء للتأمين التعاوني
